id	name	wpn1	wpn2	wpn3	wpn4	wpn5	wpn6	wpn7	armor1	armor2	armor3	armor4	rt	reclimit	basecost	rcost	size	ressize	hp	prot	mr	mor	str	att	def	prec	enc	mapmove	ap	ambidextrous	mounted	mountmnr	skilledrider	reinvigoration	leader	undeadleader	magicleader	startage	maxage	hand	bow	head	body	foot	misc	crownonly	pathcost	startdom	bonusspells	F	A	W	E	S	D	N	G	B	H	rand1	nbr1	link1	mask1	rand2	nbr2	link2	mask2	rand3	nbr3	link3	mask3	rand4	nbr4	link4	mask4	holy	inquisitor	mind	inanimate	undead	demon	magicbeing	stonebeing	animal	coldblood	female	forestsurvival	mountainsurvival	wastesurvival	swampsurvival	cavesurvival	aquatic	amphibian	pooramphibian	float	flying	stormimmune	teleport	immobile	noriverpass	sailingshipsize	sailingmaxunitsize	stealthy	illusion	spy	assassin	patience	seduce	succubus	corrupt	heal	immortal	domimmortal	reinc	noheal	neednoteat	homesick	undisciplined	formationfighter	slave	standard	inspirational	taskmaster	beastmaster	bodyguard	waterbreathing	iceprot	invulnerable	slashres	bluntres	pierceres	shockres	fireres	coldres	poisonres	acidres	voidsanity	darkvision	blind	animalawe	awe	haltheretic	fear	berserk	cold	heat	fireshield	banefireshield	damagerev	poisoncloud	diseasecloud	slimer	mindslime	reform	regeneration	reanimator	poisonarmor	petrify	eyeloss	ethereal	ethtrue	deathcurse	trample	trampswallow	stormpower	firepower	coldpower	darkpower	chaospower	magicpower	winterpower	springpower	summerpower	fallpower	forgebonus	fixforgebonus	mastersmith	resources	autohealer	autodishealer	alch	nobadevents	event	insane	shatteredsoul	leper	taxcollector	gem	gemprod	chaosrec	pillagebonus	patrolbonus	castledef	siegebonus	incprovdef	supplybonus	incunrest	popkill	researchbonus	drainimmune	inspiringres	douse	adeptsacr	crossbreeder	makepearls	pathboost	allrange	voidsum	heretic	elegist	shapechange	firstshape	secondshape	secondtmpshape	landshape	watershape	forestshape	plainshape	xpshape	unique	fixedname	special	nametype	summon	n_summon	batstartsum1	batstartsum2	domsummon	domsummon2	domsummon20	raredomsummon	bloodvengeance	bringeroffortune	realm1	realm2	realm3	batstartsum3	batstartsum4	batstartsum5	batstartsum1d6	batstartsum2d6	batstartsum3d6	batstartsum4d6	batstartsum5d6	batstartsum6d6	turmoilsummon	coldsummon	scalewalls	deathfire	uwregen	shrinkhp	growhp	transformation	startingaff	fixedresearch	divineins	lamialord	preanimator	dreanimator	mummify	onebattlespell	fireattuned	airattuned	waterattuned	earthattuned	astralattuned	deathattuned	natureattuned	bloodattuned	magicboostF	magicboostA	magicboostW	magicboostE	magicboostS	magicboostD	magicboostN	magicboostALL	eyes	heatrec	coldrec	spreadchaos	spreaddeath	corpseeater	poisonskin	bug	uwbug	spreadorder	spreadgrowth	startitem	spreaddom	battlesum5	acidshield	drake	prophetshape	horror	enchrebate50p	latehero	sailsize	uwdamage	landdamage	rpcost	buffer	rand5	nbr5	link5	mask5	rand6	nbr6	link6	mask6	mummification	diseaseres	raiseonkill	raiseshape	sendlesserhorrormult	xploss	theftofthesunawe	incorporate	hpoverslow	blessbers	dragonlord	curseattacker	uwheat	slothresearch	horrordeserter	mindvessel	elementrange	sorceryrange	older	disbelieve	firerange	astralrange	landreinvigoration	naturerange	beartattoo	horsetattoo	reincarnation	wolftattoo	boartattoo	sleepaura	snaketattoo	appetite	astralfetters	foreignmagicboost	templetrainer	infernoret	kokytosret	addrandomage	unsurr	combatcaster	homeshape	speciallook	aisinglerec	nowish	bugreform	mason	onisummon	sunawe	spiritsight	ownblood	invisible	startaff	ivylord	spellsinger	magicstudy	triplegod	triplegodmag	unify	triple3mon	yearturn	fortkill	thronekill	digest	indepmove	unteleportable	reanimpriest	stunimmunity	entangle	alchemy	woundfend	singlebattle	falsearmy	summon5	ainorec	researchwithoutmagic	slaver	autocompete	deathparalyze	adventurers	cleanshape	reqlab	reqtemple	horrormarked	changetargetgenderforseductionandseductionimmune	overcharged	guardianspiritmodifier	isashah	iceforging	isayazad	isadaeva	blessfly	plant	clockworklord	commaster	comslave	minsizeleader	snowmove	swimming	stupid	skirmisher	ironvul	heathensummon	unseen	powerofdeath	reformtime	immortalrespawn	nomovepen	wolf	dungeon	graphicsize	twiceborn	aboleth	tmpastralgems	localsun	tmpfiregems	defiler	mountedbeserk	lanceok	startheroab	minprison	uwfireshield	saltvul	landenc	plaguedoctor	curseluckshield	pathboostuw	pathboostland	noarmormapmovepenalty	farthronekill	hpoverflow	indepstay	polyimmune	horrormark	deathdisease	allret	percentpathreduction	aciddigest	beckon	slaverbonus	carcasscollector	mindcollar	labpromotion	mountainrec	indepspells	enchrebate50	summon1	randomspell	deathpower	deathrec	norange	insanify	reanimator	defector	nohof	batstartsum1d3	enchrebate10	undying	moralebonus	uncurableaffliction	autoblessed	wintersummon1d3	stygianguide	almostundead	truesight	smartmount	mobilearcher	reformingflesh	fearoftheflood	spiritform	chorusslave	chorusmaster	tightrein	corpsestitcher	reconstruction	nofriders	coridermnr	holycost	animatemnr	lich	glamourman	erastartageincrease	moreorder	moregrowth	moreprod	moreheat	moreluck	moremagic	nofmounts	divinebeing	falsedamagerecovery	uwpathboost	nofalldmg	randomitems	fireempower	airempower	waterempower	earthempower	popspy	capitalhome	deathslimeexpl	deathpoisonexpl	deathshockexpl	drawsize	clumsy	petrificationimmune	regainmount	nobarding	scarsouls	spikebarbs	pretenderstartsite	mountiscom	nothrowoff	offscriptresearch	bird	decayres	unmountedspr	cubmother	exhaustion	glamour	deadhp	maxdeadhp	verystupid	deathdiseaseexpl	end
28	Light Infantry	1							6	2	120		1		10010	1	3	3	10	0	10	10	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
29	Light Infantry	1	21						6	20	2		1		10010	1	3	3	10	0	10	10	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
30	Militia	1							5	120			1		10007	1	3	3	10	0	10	8	9	8	8	10	4	10	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
31	Militia	1							5	20	2		1		10007	1	3	3	10	0	10	8	10	8	8	10	4	10	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
32	Archer	6	23						9	20			1		10010	1	3	3	10	0	10	8	10	8	8	10	3	12	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
33	Archer	6	23						6	119			1		10010	1	3	3	10	0	10	8	10	8	8	10	3	12	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
34	Commander	8							7	20	2		1		10010	1	3	3	11	0	10	11	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
35	Commander	8							8	20	2		1		10010	1	3	3	11	0	10	11	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
36	Commander	8							9	20	2		1		10010	1	3	3	11	0	10	11	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
37	Master of the Games	8	6						9	123			1		0	1	3	3	15	0	10	13	12	13	14	10	3	14	12	2					10					2	1	1	1	1	2																																																																																																																																																																																						12																																																																										10000																																																																																						1																																										100																																																																																																									
38	Heavy Infantry	1							11	20	2		1		10010	1	3	3	10	0	10	10	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
39	Heavy Infantry	8							12	118	2		1		10010	1	3	3	10	0	10	10	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
40	Heavy Infantry	8							13	118	2		1		10010	1	3	3	10	0	10	10	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
41	Arch Theurg	7							148				2		10010	1	3	3	8	0	17	14	10	12	12	12	3	14	10						10					2	1	1	1	1	2						2	1		3					3	100	1	1	2944	10	1	1	2944									1																																																																																																										10																																																																																																																							10000																																																																																																																																																																																																																																									
42	Theurg	12							148				1		10010	1	3	3	9	0	15	13	10	11	10	10	3	14	10						10					2	1	1	1	1	2						1	1		2					2																	1																																																																																																										5																																																																																																																							10000																																																																																																																																																																																																																																									
43	Theurg Acolyte	9											1		10010	1	3	3	10	0	13	12	10	8	8	8	3	14	10						10					2	1	1	1	1	2									1					1																	1																																																																																																																																																																																																																																	10000																																																																																																																																																																																																																																									
44	Mounted Commander	8							8	20			1		10010	1	3	3	11	0	10	11	10	10	10	10	3	14	12			3516			75					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																	2								
45	Mounted Commander	8							7	20			1		10010	1	3	3	11	0	10	11	10	10	10	10	3	14	12			3516			75					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																	2								
46	Mounted Commander	8							6	20			1		10010	1	3	3	11	0	10	11	10	10	10	10	3	14	12			3513			75					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																	2								
47	Crossbowman	9	25						6	120			1		10010	1	3	3	10	0	10	8	10	8	8	10	4	12	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
48	Crossbowman	6	25						7	20			1		10010	1	3	3	10	0	10	8	10	8	8	10	4	12	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
49	Crossbowman	6	25						9	20			1		10010	1	3	3	10	0	10	8	10	8	8	10	4	12	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
50	Slinger	9	22						5	120			1		10007	1	3	3	10	0	10	7	10	8	8	10	4	12	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
51	Battle Vestal	1							2				1		10012	1	3	3	9	0	11	12	9	12	13	10	3	18	13						50					2	1	1	1	1	2																															1										1																																																																																																																																																																																																																							10000																																																																																																																																																																																																																																									
52	Battle Deacon	12							9	127			1		10010	1	3	3	11	0	12	12	10	11	11	10	3	18	12						50					2	1	1	1	1	2														1																	1																																																																																																																																																																																																																																	10000																																																																																																																																																																																																																																									
53	Logrian Warrior	17	21						16	118	2		1		10012	1	3	3	12	0	10	11	11	11	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																9995																																																																																																																																																																																																																																									
54	Castellan	8							13	118	2		1		10010	1	3	3	12	0	10	12	10	11	11	10	3	14	12						100					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
55	Longbowman	6	24						5	120			1		10010	1	3	3	10	0	10	9	11	10	10	10	3	12	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10004																																																																																																																																																																																																																																									
56	Royal Forester	17	17	23					15	120			1		10020	1	3	3	12	0	10	11	10	11	11	13	3	14	12	1					10					2	1	1	1	1	2																																										1																55																																																																																									5																																																																																																													10000																																																																																																																																																																																																																																									
57	Knight of Man	4	8						18	21	3		1		10017	1	3	3	12	0	10	13	12	12	12	10	3	14	12			3517	2		50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																				-10													24060								
58	Knight of the Stone	4	8						19	21	3		1		0	1	3	3	16	0	12	16	13	16	14	10	3	14	12			3518	4		150					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																				-10													24078								
59	Longbowman	6	24						5	120			1		10010	1	3	3	11	0	10	10	12	10	10	12	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10004																																																																																																																																																																																																																																									
60	Monk	92											1		9990	1	3	3	9	0	13	9	9	8	8	10	4	14	10						10					2	1	1	1	1	2														1																	1																											40																																																																																																																																																								3	1																																													10000																																																																																				1																																																																																																																																																					
61	Spearman	1							6	20	2		1		10010	1	3	3	10	0	10	10	10	10	10	10	3	16	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
62	Longspear	28							7	20	2		1		10010	1	3	3	10	0	10	10	10	10	10	10	3	16	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
63	Tower Guard	8							8	118	2		1		10012	1	3	3	11	0	10	11	10	11	11	10	3	16	12						50					2	1	1	1	1	2																																																																																																																																																				1																																																																																																												10000																																																																																																																																																																																																																																									
64	Knight of Avalon	4	8						18	21	3		1		10020	1	3	3	16	0	13	14	12	12	13	10	3	14	12			3900	3		50				125	2	1	1	1	1	2																															1											1																								1																								5																																																																																																																																																																						10000											100																																																																																																																																																																																																																						24064								
65	Warden of Avalon	11							18	21			1		10020	1	3	3	17	0	13	14	13	13	12	10	3	18	14						50				100	2	1	1	1	1	2																															1											1																40																						3																																																																																																																																																																																10000																																																																																																																																																																													1																																							5																					
66	Guardian	508							215	218			1		10020	1	3	3	14	0	9	14	12	12	10	10	2	14	12						50					2	1	1	1	1	2																																																																																																																																																				2																																																																																																												10000																																																																																																																																																																																																																																									
