id#;name;era;frq;mask;lvl;type;F;A;W;E;S;D;N;B;gold;res;sup;unr;exp;lab;fort;scale1;scale2;rit;ritrng;runit1;;runit2;;runit3;;runit4;;runit5;;sumpath;sum1;sum1name;#sum1;sum2;sum2name;#sum2;sum3;sum3name;#sum3;conj;alter;evo;const;ench;thau;blood;heal;disease;curse;horror;holyfire;holypow;scry;adventure;plains;forest;mount;waste;farm;sea;coast;swamp;deepsea;cave;unique;other
28;Hoburg;;5;0;0;Earth;;;;;;;1;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;The Ruined Keep;3;5;0;0;Death;;;;;;2;;;;;;;;;;;;;;1020;Ghoul Guardian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Temple of the Land;1;5;0;0;Blood;;;;;;;1;;;;;;;;;;;;;732;Priest King;726;Eagle Warrior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Temple of the Rain;1;5;0;0;Blood;;;1;;;;;;;;;;;;;;;;;733;Rain Priest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Temple of the Moon;1;5;0;0;Blood;;;;;1;;;;;;;;;;;;;;;734;Moon Priest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;High Temple of the Sun;1;5;0;0;Blood;2;;;;;;;3;;;;;;;;;;;;725;Sun Warrior;735;High Priest of the Sun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;House of Fiery Justice;-1;5;0;0;Holy;4;;;;1;;;;;;;;;;;;;;;135;Knight of the Chalice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50%;;;;;;;;;;;;;;
35;Vanhalla;2;5;0;0;Air;;2;;;;;;;;;;;;;;;;;;262;Van;261;Valkyrie;948;Vanadrott;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Oleg's Alchemical Device;;5;0;1;Fire;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;The Deepest Cave of the Province;;5;0;2;Earth;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Temple of the Everburning Pyre;3;5;0;0;Fire;1;;;;;;;;;;;;;;;;;;;1970;Anathemant Dragon;1966;Slayer Anathemant;990;Guardian of the Pyre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;The Smouldercone;3;5;0;0;Fire;3;;;;;;;;;;;;;;;Heat;;;;923;Warlock Apprentice;89;Warlock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;The Citadel of Frozen Crystal;3;5;0;0;Water;;1;1;;;;;;;;;;;;;;;;;1004;Caelian Seraph;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Ravens Vale;3;5;0;0;Death;;;;1;;1;;;;;;;;;;;;;;1003;Harab Elder;1280;Earthbound;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Black Forest;3;5;0;0;Nature;;;;;1;;1;;;;;;;;;;;;;1028;Wolfherd;1011;Fortune Teller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;The Sacred Swamp;3;5;0;1;Nature;;;;;;;3;;;;;;;;;;;;;1879;Serpent Assassin;761;Serpent Priest;1859;Hydra Hatchling;1850;Hydra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;The Black Temple;3;5;0;0;Holy;;;;;;;;;;;;;;;;;;;;738;Black Templar;1237;Hochmeister;740;Black Priest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;The Void Gate;23;5;0;0;Astral;;;;;;;;;;;;;;;;;;;;;Starspawn;;;;;;;;;Astral;;void monsters;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Niefelheim;1;5;0;0;Air;;;4;;;2;;;;;;;;;;;;;;844;Niefel Jarl;845;Niefel Giant;1310;Jotun Skinshifter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Well of Urd;3;5;0;0;Astral;;;;;2;1;1;;;;;;;;;;;;;281;Norna;;Garmhirding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;The Grove of Gaia;-1;5;0;0;Nature;;;;;;;5;;;;;;;;;;;;;787;Black Centaur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;The Grove of Gaia;3;5;0;0;Nature;;;;1;;;3;;;;;;;;;;;;;704;Dryad Hoplite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;The Heavenly Gate;2;5;0;0;Astral;;1;;;2;;;;;;;;;;;;;;;803;Celestial Master;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;The Celestial City;2;5;0;0;Holy;;2;;1;;;;;;;;;;;;;;;;791;Red Guard;793;Prince General;1892;Imperial Alchemist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;The Celestial City;3;5;0;0;Holy;;;;1;;1;;;;;;;;;;;;;;1577;Ancestor Vessel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;The Bamboo Grove;1;5;0;0;Nature;;;;;;;;;;;;;;;;;;;;940;Master of the Five Elements;1544;Warrior of the Five Elements;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;The Gate of Spring and Autumn;1;5;0;0;Astral;1;;2;;2;1;;;;;;;;;;;;;;941;Celestial Master;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Temple of the Dead;2;5;0;0;Death;;;;;;3;;;;;;;;;;;;;;1654;Lictor;1655;Censor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Forest of Avalon;;5;0;0;Nature;;;;;;;2;;;;;;;;;;;;;851;Cu Sidhe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Avalon;;5;0;0;Nature;;3;;;;;;;;;;;;;;;;;;849;Daoine Sidhe;850;Sidhe Champion;848;Sidhe Lord;;Tuatha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Vanhalla;3;5;0;0;Air;;3;;1;;;;;;;;;;;;;;;;262;Van;263;Vanherse;264;Vanjarl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Helhalla;1;5;0;0;Death;;1;;;;;;;;;;;;;;;;;;855;Valkyrie;1503;Helhirding;1507;Dis;847;Hangadrott;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;God Forest;2;5;0;0;Nature;1;;;;;;2;;;;;;;;;;;;;890;Hunter Lord;889;Black Hunter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;God Mountain;2;5;0;0;Earth;;;;2;;;;;;;;;;;;;;;;894;Black Sorcerer;891;Sorceress;877;Bane Spider;;Spider Warrior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;The Temple Marsh;2;5;0;0;Nature;;;1;;;2;2;;;;;;;;;;;;;;Sobek General;;Sobek Warrior;;Sobek Swamp Guard;;Swamp Guard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;The City of Tombs;3;5;0;0;Death;1;;;;;3;;;;;;;;;;;;;;1095;Keeper of the Tombs;1094;Desert Ranger;1166;Tomb Guard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Temple of the Spheres;2;5;0;0;Astral;;;;;1;;;;;;;;;;;;;;;670;Grand Thaumaturg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;The Desert Eye;;5;0;0;Astral;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50%;;;;;;;;;;;;;;;;;;;;;;
66;Gold Mine;;5;0;0;Earth;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Silver Mine;;5;0;0;Earth;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Copper Mine;;5;0;0;Earth;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Iron Mine;;5;0;0;Earth;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Naval Academy;3;5;0;0;Water;;1;;;2;;;;;;;;;;;;;;;1030;Admiral;;Royal Navigator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;House of Justice;3;5;0;0;Holy;1;;;;;;;;;;;;;;;;;;;;Hand of Justice;;High Inquisitor;;Goetic Master;;;;;;;;;;;;;;;;;;;;;;;;;;;25%;;;;;;;;;;;;;;
72;Palace of Pearls;1;5;0;0;Water;;;4;;;;2;;;;;;;;;;;;;;Pearl King;;Pearl Guard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Mount Cephalos;1;5;0;0;Air;;2;;;2;;;;;;;;;;;;;;;1650;Oreiad;1075;Wind Lord;1074;Wind Rider;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Lykeion;1;5;0;0;Earth;;;;2;;;;;;;;;;;;;;;;1072;Engineer;1606;Mage Engineer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Akademeia;1;5;0;0;Earth;;;;;;;;;;;;;;;;;;;;1070;Philosopher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Temple Sanguine;3;5;0;0;Blood;;;;;;;;;;;;;;;;;;;;1967;Slayer Sanguine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;Temple of the Shroud;1;5;0;0;Holy;3;;;;3;;;;;;;;;;;;;;;1108;Equite of the Sacred Shroud;1112;Bishop of the Sacred Shroud;1111;Arch Bishop of the Sacred Shroud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;The Lotus Gardens;2;5;0;0;Nature;;;;;3;;2;;;;;;;;;;;;;1144;Rishi;1141;Tiger Rider;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;The Carrion Grove;-1;5;0;0;Nature;;;;;;1;4;;;;;;;;;;;;;787;Black Centaur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;The Carrion Grove;-1;5;0;0;Nature;;;;;;1;6;;;;;;;;;;;;;787;Black Centaur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;The Carrion Grove;-1;5;0;0;Nature;;;;;;1;9;;;;;;;;;;;;;787;Black Centaur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;The Wheel of Pain;1;5;0;0;Earth;;;;;;;;;;;;;;;;;;;;1157;Steel Warrior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Irminsul;1;5;0;0;Nature;;;;3;;1;2;;;;;;;;;;;;;1161;Antlered Shaman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;The Great Cauldron;1;5;0;0;Blood;;;;;;;;2;;;;;;;;;;;;1183;Androphag Archer;1176;Androphag;1177;Manflayer;1178;Witch King;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;The Bitter Stream;1;5;0;0;Death;;;1;;;3;;;;;;;;;;;;;;1185;Oiorpata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Steppes of Sauromatia;;5;0;0;Death;;;;;;;;;;;;;;;;;;;;1185;Oiorpata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;High Temple of the Land;2;5;0;0;Nature;;;;;;;1;;;;;;;;;;;;;727;Jaguar Warrior;1190;Priest King;1194;Couatl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;High Temple of the Sky and the Rain;2;5;0;0;Water;;1;1;;;;;;;;;;;;;;;;;1191;Rain Priest;1907;High Priest of the Sky;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Temple of the Moon;2;5;0;0;Astral;;;;;1;;;;;;;;;;;;;;;1192;Moon Priest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;Temple of the Sun;2;5;0;0;Fire;;1;;;;;;;;;;;;;;;;;;725;Sun Warrior;1193;Sun Priest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Carnutes;1;5;0;0;Nature;;;;2;3;;1;;;;;;;;;;;;;1222;Boar Warrior;1223;Boar Lord;;Druid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Temple of the Pure War;3;5;0;0;Holy;;1;;;;;;;;;;;;;;;;;;1247;Sohei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Mountain of the Mystics;3;5;0;0;Earth;1;;;1;;;1;;;;;;;;;;;;;1248;Yamabushi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Palace of the Eagle Kings;1;5;0;0;Air;;5;1;;;;;;;;;;;;;;;;;1286;Eagle King;1289;Temple Guard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Mountain of the Oni Kings;1;5;0;0;Earth;1;1;;1;;3;;;;;;;;;;;;;;1316;Dai Oni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Patala;3;5;0;0;Earth;;;2;1;;;;;;;;;;;;;;;;1318;Naga;1319;Naga Warrior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;The Jeweled City;3;5;0;0;Earth;;;;;1;;;;;;;;;;;;;;;1320;Nagaraja;1321;Nagarishi;1322;Nagini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;Mount Kailasa;1;5;0;0;Earth;;;;2;;;;;;;;;;;;;;;;1327;Yavana;1328;Yavana Archer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;The Lotus Garden;1;5;0;0;Nature;;;;;2;;2;;;;;;;;;;;;;1329;Yaksha;1330;Yakshini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Augurs' Circle;;5;0;0;Death;;;;;;1;;;;;;;;;;;;;;1115;Augur Elder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;The Grove of Aphros;1;5;0;0;Water;;;2;;;;4;;;;;;;;;;;;;;Aphroi Lord;;Aphroi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Temple of the Land;3;5;0;0;Blood;;;;;;;1;;;;;;;;;;;;;732;Priest King;726;Eagle Warrior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;High Temple of the Rain;3;5;0;0;Blood;;;1;;;;;;;;;;;;;;;;;1423;Rain Warrior;1421;Rain Priest;1420;King of Rain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Temple of the Moon;3;5;0;0;Blood;;;;;1;;;;;;;;;;;;;;;734;Moon Priest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Temple of the Sun;3;5;0;0;Blood;1;;;;;;;1;;;;;;;;;;;;1424;Sun Priest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;Mount Shinuyama;2;5;0;0;Earth;1;;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Tombs of the Oracles;3;5;0;0;Death;;;;;;2;;;;;;;;;;;;;;1438;Ktonian Necromancer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Mines of the Pale Ones;3;5;0;0;Earth;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;Halls of the Oracles;1;5;0;0;Earth;;;;;;;;;;;;;;;;;;;;1457;Oracle of the Subterranean Waters;1467;Oracle of the Subterranean Fires;1468;Oracle of the Dead;;;;;;;;;;;;;;;;;;;;;;;;;;;;Earth;;;;;;;;;;;;;
110;Roots of the Earth;1;5;0;0;Earth;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Halls of the Oracles;2;5;0;0;Earth;;;;;;;;;;;;;;;;;;;;1470;Ancient Lord;1459;Oracle of the Ancients;1488;Ancient Stone Hurler;1469;Ancient One;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;The Chamber of the Seal;1;5;0;0;Death;;;;;;1;;;;;;;;;;;;;;1456;Seal Guard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;Gnipahålan;1;5;0;0;Death;;;;1;;4;;;;;;;;;;;;;;1010;Svartalf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Vanhalla;1;5;0;0;Air;;3;;;;;;;;;;;;;;;;;;1513;Vanhere;948;Vanadrott;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;The Halls of Andvare;1;5;0;0;Earth;;;;3;;;;;;;;;;;;;;;;463;Fay Boar;323;Dwarven Smith;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;The Gorge of Ancient Cities;1;5;0;0;Water;;;2;1;3;;;;;;;;;;;;;;;1521;Mind Lord;1522;Gibodai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;The Carrion Grove;3;5;0;0;Nature;;;;;;1;;;;;;;;;;;;;;787;Black Centaur;901;Black Dryad;709;Panic Apostate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;The Grove of Gaia;1;5;0;0;Nature;;;;;;;6;;;;;;;;;;;;;769;White Centaur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;The Smouldercone;1;5;0;0;Fire;5;;;;;;;;;;;;;;;Heat;;;;1661;Misbred;1542;Warlock Apprentice;1538;Warlock;1537;Demonbred;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Temple of the All-Consuming Flame;1;5;0;0;Fire;1;;;;;;;;;;;;;;;;;;;1536;Anointed of Rhuax;1543;Burning One;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Temple of the All-Consuming Flame;2;5;0;0;Fire;1;;;;;;;;;;;;;;;;;;;90;Lava Warrior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;The Sibylline Caves;3;5;0;0;Astral;;;;;3;;1;;;;;;;;;;;;;1557;Sibyl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Astral;;;;;;;;;;;;;
123;The Cerulean Tower;3;5;0;0;Water;;;;;;;;;;;;;;;;;;;;1556;Cerulean Warrior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;Gymnasium;3;5;0;0;Water;;;;;;;;;;;;;;;;;;;;747;Heart Companion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;The Enchanted Isle;1;5;0;0;Nature;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;The Coast of Ice and Bones;3;5;0;0;Water;;;3;;;1;;;;;;;;;;;;;;1618;Angakok;1630;Arssartut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;The Forest of Avalon;3;5;0;0;Nature;;2;;;;;2;;;;;;;;;;;;;1666;Lord Warden;1648;Warden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;The Basalt City;1;5;0;0;Earth;1;;;3;;;;;;;;;;;;;;;;1695;Basalt Queen;1690;Living Pillar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;The Dark Crystal;1;5;0;0;Water;;;2;;;;;;;;;;;;;;;;;1702;Basalt King;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;The Heavenly Gate;3;5;0;0;Astral;;1;;;1;;;;;;;;;;;;;;;1712;Celestial Master;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
