id	name	school	researchlevel	path1	pathlevel1	path2	pathlevel2	effect_record_id	effects_count	precision	fatiguecost	gemcost	next_spell	damage	end
99	15 Forest Trolls	-1	1	-1	0	-1	0	99	15	0	0	0	0	2219	
100	earth grip	-1	1	-1	0	-1	0	100	1	0	0	0	0	16384	
101	Disease	-1	1	-1	5	-1	0	101	1	0	0	0	0	1	
102	Disease All Friendly	-1	1	5	0	-1	0	102	1	0	0	0	0	1	
103	Cripple	-1	1	-1	0	-1	0	103	1	0	0	0	0	16777216	
104	Earthquake Knockdown Stun	-1	1	-1	0	-1	0	104	1	0	0	0	0	0	
105	Entrancement	-1	1	7	1	-1	0	105	1	100	0	0	0	100	
106	Record of Creation	-1	1	-1	0	-1	0	106	1	0	0	0	0	55	
107	Area Fire	-1	1	-1	0	-1	0	107	1	0	0	0	0	10	
108	Battlefield Limp	-1	1	-1	0	-1	0	108	1	0	0	0	109	262144	
109	Battlefield Cripple	-1	1	-1	0	-1	0	109	1	0	0	0	0	16777216	
110	15 Great Olms	-1	1	-1	0	-1	0	110	15	0	0	0	0	2528	
111	Summon Predatory Birds	-1	1	-1	0	-1	0	111	3	0	0	0	0	517	
112	Burning	-1	1	-1	0	-1	0	112	1	0	0	0	0	512	
113	Large Fireball	-1	1	-1	0	-1	0	113	1	0	0	0	0	16	
114	Decay	-1	1	-1	0	-1	0	114	1	0	0	0	0	256	
115	Area Flames	-1	1	-1	0	-1	0	115	1	0	0	0	0	6	
116	Acid Splash	-1	1	-1	0	-1	0	116	1	0	0	0	0	6	
117	Bane Flame Area	-1	1	-1	0	-1	0	117	1	0	0	0	20	8	
118	Astral Fires Area	-1	1	-1	0	-1	0	118	1	0	0	0	0	10	
119	The Missing Tune	-1	1	-1	0	-1	0	119	1	0	0	0	0	127	
120	Minor Blunt Damage	-1	1	-1	0	-1	0	120	1	0	0	0	0	8	
121	15 Giants of the Lost Tribe	-1	1	-1	0	-1	0	121	15	0	0	0	0	3878	
122	Area False Flames	-1	1	-1	0	-1	0	122	1	0	0	0	0	8	
123	Stun Magic Being	-1	1	4	1	-1	0	123	1	100	0	0	0	100	
124	Fay Folk Court	-1	1	-1	0	-1	0	124	10	0	0	0	125	-26	
125	Fay Folk Court Soldiers	-1	1	-1	0	-1	0	125	3	0	0	0	126	3903	
126	Fay Folk Court Knights	-1	1	-1	0	-1	0	126	2	0	0	0	0	3901	
127	Vine Fatigue	-1	1	6	1	-1	0	127	1	0	0	0	0	33	
128	Carrion Poison	-1	1	6	1	-1	0	128	1	0	0	0	129	2008	
129	Carrion Seed	-1	1	-1	0	-1	0	129	1	0	0	0	0	144115188075855872	
130	...	-1	1	-1	0	-1	0	130	1	0	0	0	0	0	
131	...	-1	1	-1	0	-1	0	131	1	0	0	0	0	0	
132	...	-1	1	-1	0	-1	0	132	1	0	0	0	0	0	
133	...	-1	1	-1	0	-1	0	133	1	0	0	0	0	0	
134	...	-1	1	-1	0	-1	0	134	1	0	0	0	0	0	
135	...	-1	1	-1	0	-1	0	135	1	0	0	0	0	0	
136	...	-1	1	-1	0	-1	0	136	1	0	0	0	0	0	
137	...	-1	1	-1	0	-1	0	137	1	0	0	0	0	0	
138	...	-1	1	-1	0	-1	0	138	1	0	0	0	0	0	
139	...	-1	1	-1	0	-1	0	139	1	0	0	0	0	0	
140	...	-1	1	-1	0	-1	0	140	1	0	0	0	0	0	
141	...	-1	1	-1	0	-1	0	141	1	0	0	0	0	0	
142	...	-1	1	-1	0	-1	0	142	1	0	0	0	0	0	
143	...	-1	1	-1	0	-1	0	143	1	0	0	0	0	0	
144	...	-1	1	-1	0	-1	0	144	1	0	0	0	0	0	
145	...	-1	1	-1	0	-1	0	145	1	0	0	0	0	0	
146	...	-1	1	-1	0	-1	0	146	1	0	0	0	0	0	
147	...	-1	1	-1	0	-1	0	147	1	0	0	0	0	0	
148	...	-1	1	-1	0	-1	0	148	1	0	0	0	0	0	
149	...	-1	1	-1	0	-1	0	149	1	0	0	0	0	0	
150	...	-1	1	-1	0	-1	0	150	1	0	0	0	0	0	
151	...	-1	1	-1	0	-1	0	151	1	0	0	0	0	0	
152	...	-1	1	-1	0	-1	0	152	1	0	0	0	0	0	
153	...	-1	1	-1	0	-1	0	153	1	0	0	0	0	0	
154	...	-1	1	-1	0	-1	0	154	1	0	0	0	0	0	
155	...	-1	1	-1	0	-1	0	155	1	0	0	0	0	0	
156	...	-1	1	-1	0	-1	0	156	1	0	0	0	0	0	
157	...	-1	1	-1	0	-1	0	157	1	0	0	0	0	0	
158	...	-1	1	-1	0	-1	0	158	1	0	0	0	0	0	
159	...	-1	1	-1	0	-1	0	159	1	0	0	0	0	0	
160	...	-1	1	-1	0	-1	0	160	1	0	0	0	0	0	
161	...	-1	1	-1	0	-1	0	161	1	0	0	0	0	0	
162	...	-1	1	-1	0	-1	0	162	1	0	0	0	0	0	
163	...	-1	1	-1	0	-1	0	163	1	0	0	0	0	0	
164	...	-1	1	-1	0	-1	0	164	1	0	0	0	0	0	
165	...	-1	1	-1	0	-1	0	165	1	0	0	0	0	0	
166	...	-1	1	-1	0	-1	0	166	1	0	0	0	0	0	
167	...	-1	1	-1	0	-1	0	167	1	0	0	0	0	0	
168	...	-1	1	-1	0	-1	0	168	1	0	0	0	0	0	
169	...	-1	1	-1	0	-1	0	169	1	0	0	0	0	0	
170	...	-1	1	-1	0	-1	0	170	1	0	0	0	0	0	
171	...	-1	1	-1	0	-1	0	171	1	0	0	0	0	0	
172	...	-1	1	-1	0	-1	0	172	1	0	0	0	0	0	
173	...	-1	1	-1	0	-1	0	173	1	0	0	0	0	0	
174	...	-1	1	-1	0	-1	0	174	1	0	0	0	0	0	
175	...	-1	1	-1	0	-1	0	175	1	0	0	0	0	0	
176	...	-1	1	-1	0	-1	0	176	1	0	0	0	0	0	
177	...	-1	1	-1	0	-1	0	177	1	0	0	0	0	0	
178	...	-1	1	-1	0	-1	0	178	1	0	0	0	0	0	
179	...	-1	1	-1	0	-1	0	179	1	0	0	0	0	0	
180	...	-1	1	-1	0	-1	0	180	1	0	0	0	0	0	
181	...	-1	1	-1	0	-1	0	181	1	0	0	0	0	0	
182	...	-1	1	-1	0	-1	0	182	1	0	0	0	0	0	
183	...	-1	1	-1	0	-1	0	183	1	0	0	0	0	0	
184	...	-1	1	-1	0	-1	0	184	1	0	0	0	0	0	
185	...	-1	1	-1	0	-1	0	185	1	0	0	0	0	0	
186	...	-1	1	-1	0	-1	0	186	1	0	0	0	0	0	
187	...	-1	1	-1	0	-1	0	187	1	0	0	0	0	0	
188	...	-1	1	-1	0	-1	0	188	1	0	0	0	0	0	
189	...	-1	1	-1	0	-1	0	189	1	0	0	0	0	0	
190	...	-1	1	-1	0	-1	0	190	1	0	0	0	0	0	
191	...	-1	1	-1	0	-1	0	191	1	0	0	0	0	0	
192	...	-1	1	-1	0	-1	0	192	1	0	0	0	0	0	
193	...	-1	1	-1	0	-1	0	193	1	0	0	0	0	0	
194	...	-1	1	-1	0	-1	0	194	1	0	0	0	0	0	
195	...	-1	1	-1	0	-1	0	195	1	0	0	0	0	0	
196	...	-1	1	-1	0	-1	0	196	1	0	0	0	0	0	
197	...	-1	1	-1	0	-1	0	197	1	0	0	0	0	0	
198	...	-1	1	-1	0	-1	0	198	1	0	0	0	0	0	
199	...	-1	1	-1	0	-1	0	199	1	0	0	0	0	0	
200	Blessing	7	0	9	1	-1	0	200	1	100	0	0	0	1	
201	Banishment	7	0	9	1	-1	0	201	1	0	0	0	0	3001	
202	Ashes to Ashes	7	0	9	1	-1	0	202	1	0	0	0	0	3001	
203	Burning	-1	0	-1	0	-1	0	203	1	0	0	0	0	512	
204	Purifying Water	7	0	9	1	-1	0	204	1	0	0	0	0	1001	
205	Cleansing	-1	0	-1	0	-1	0	205	1	0	0	0	0	3001	
206	Pull from the Grave	7	0	9	1	-1	0	206	1	0	0	0	0	3001	
207	Grip	-1	0	-1	0	-1	0	207	1	0	0	0	0	16384	
208	Sacred Wind	7	0	9	1	-1	0	208	1	0	0	0	0	1	
209	Final Rest	7	0	9	1	-1	0	209	1	0	0	0	0	999	
210	Decree of the Underworld	7	0	9	1	-1	0	210	1	0	0	0	0	3001	
211	Bewilderment	-1	0	-1	0	-1	0	211	1	0	0	0	0	17179869184	
212	Stellar Decree	7	0	9	1	-1	0	212	1	0	0	0	0	1001	
213	Halt	-1	0	-1	0	-1	0	213	1	0	0	0	0	100	
214	Return of the Past	7	0	9	1	-1	0	214	1	0	0	0	0	1001	
215	Memories of Life	-1	0	-1	0	-1	0	215	1	0	0	0	0	3003	
216	Sermon of Courage	7	0	9	2	-1	0	216	1	100	0	0	0	1	
217	Smite Demon	7	0	9	2	-1	0	217	1	100	0	0	0	5005	
218	Holy Word	7	0	9	2	-1	0	218	1	100	0	0	0	100	
219	Holy Avenger	7	0	9	2	-1	0	219	1	0	0	0	0	4194304	
220	Divine Blessing	7	0	9	3	-1	0	220	1	100	0	0	0	1	
221	Smite	7	0	9	3	-1	0	221	1	100	0	0	0	10	
222	Heavenly Fire	7	0	9	3	-1	0	222	1	100	0	0	0	10	
223	Fiery Death	-1	0	-1	0	-1	0	223	1	100	0	0	0	10	
224	Watery Death	7	0	9	3	-1	0	224	1	100	0	0	0	10	
225	Drowning	-1	0	-1	0	-1	0	225	1	100	0	0	0	10	
226	Word of Stone	7	0	9	3	-1	0	226	1	100	0	0	0	10	
227	Petrification	-1	0	-1	0	-1	0	227	1	100	0	0	0	999	
228	Heavenly Strike	7	0	9	3	-1	0	228	1	100	0	0	0	10	
229	Lightning Death	-1	0	-1	0	-1	0	229	1	100	0	0	0	5	
230	Word of Power	7	0	9	3	-1	0	230	1	100	0	0	0	10	
231	Paralyzation	-1	0	-1	0	-1	0	231	1	100	0	0	0	10	
232	Syllable of Death	7	0	9	3	-1	0	232	1	100	0	0	0	10	
233	Death	-1	0	-1	0	-1	0	233	1	100	0	0	0	999	
234	Exhaustion	-1	0	-1	0	-1	0	234	1	100	0	0	0	20	
235	Word of Thorns	7	0	9	3	-1	0	235	1	100	0	0	0	5	
236	Tangles	-1	0	-1	0	-1	0	236	1	100	0	0	0	64	
237	Bleeding	-1	0	-1	0	-1	0	237	1	100	0	0	0	8192	
238	Word of Bewilderment	7	0	9	3	-1	0	238	1	100	0	0	0	10	
239	Confusion	-1	0	-1	0	-1	0	239	1	100	0	0	0	17179869184	
240	Claim Life	7	0	9	3	-1	0	240	1	100	0	0	0	20	
241	Chestwound	-1	0	-1	0	-1	0	241	1	100	0	0	0	8388608	
242	Fanaticism	7	0	9	4	-1	0	242	1	0	0	0	0	1	
243	Divine Channeling	7	0	9	5	-1	0	243	1	0	90	0	0	91	
244	Fire Flies	2	0	0	1	-1	0	244	6	-1	20	0	0	8	
245	Air Shield	1	0	1	1	-1	0	245	1	0	10	0	0	8	
246	Freezing Touch	2	0	2	1	-1	0	246	1	1	10	0	0	1008	
247	Flying Shards	2	0	3	1	-1	0	247	2002	0	30	0	0	1006	
248	Twist Fate	1	0	4	1	-1	0	248	1	0	10	0	0	1	
249	Hand of Dust	1	0	5	1	-1	0	249	1	0	10	0	0	1005	
250	Poison Touch	1	0	6	1	-1	0	250	1	0	5	0	0	5005	
251	Sleep Ray	5	0	7	1	-1	0	251	1	0	20	0	0	1024	
252	Bleed	6	0	8	1	-1	0	252	1	0	0	1	0	8192	
253	Monster Boar	0	5	6	3	-1	0	253	1	0	0	10	0	11	
254	Summon Hound of Twilight	0	5	3	2	5	1	254	1	0	0	3	0	3168	
255	Sow Dragon Teeth	4	6	3	2	-1	0	255	10	0	0	1	0	3119	
256	Bind Keres	0	6	5	2	-1	0	256	3	0	0	12	0	3127	
257	Rhapsody of Life	5	3	6	1	-1	0	257	1	5	20	0	0	1009	
258	Minor Reinvigoration	-1	1	-1	0	-1	0	258	1	0	0	0	0	10	
259	Rhapsody of the Dead	5	3	5	1	-1	0	259	1	0	20	0	0	1003	
260	Scare Spirits	-1	1	-1	0	-1	0	260	1	0	0	0	0	2	
261	From Death Comes Life	1	3	5	1	6	1	261	1	0	0	3	0	94	
262	Curse Tablet	0	3	5	1	-1	0	262	1	0	0	3	0	2	
263	Blessing of the God-slayer	4	0	2	1	9	1	263	1	0	0	5	0	654	
264	Gigantomachia	5	7	3	4	0	4	264	1	0	0	60	0	107	
265	Contact Hesperide	0	6	0	3	4	1	265	1	0	0	35	0	3160	
266	Call Ladon	0	6	0	3	6	2	266	1	0	0	15	0	3167	
267	Dogs of Gold and Silver	3	4	3	1	-1	0	267	1	0	0	7	0	3169	
268	Dog of Gold	-1	1	-1	0	-1	0	268	1	0	0	0	0	3170	
269	Craft Keledone	3	6	3	2	4	2	269	1	0	0	5	0	3164	
270	Forge Brass Bull	3	6	0	3	3	3	270	1	0	0	25	0	3171	
271	Orgy	6	1	8	1	6	1	271	1	0	0	1	87	1881	
272	Daughter of Typhon	0	8	6	5	5	2	272	1	0	0	30	0	1822	
273	Gift of the Sacred Swamp	4	2	6	1	9	1	273	1	0	20	0	0	288230376151711744	
274	Awaken Hamadryad	4	5	6	4	-1	0	274	1	0	0	25	0	3066	
275	Contact Lar	0	5	6	1	-1	0	275	1	-2	0	16	0	3087	
276	Katabasis	4	3	5	1	2	1	276	1	0	0	8	0	2199023255552	
277	Epopteia	4	3	6	1	-1	0	277	1	0	0	12	0	94	
278	Taurobolium	5	3	6	1	0	1	278	1	0	0	6	0	651	
279	xxx	-1	1	8	1	6	1	279	1	0	0	1	87	1881	
280	Awaken Tattoos	4	3	6	1	9	1	280	1	100	20	0	0	549755813888	
281	Sounder of Boars	0	3	6	1	9	1	281	20	0	0	15	0	1807	
282	Contact Boar of Carnutes	0	5	6	1	3	1	282	1	0	0	7	0	1809	
283	Herd of Unicorns	0	4	7	2	6	1	283	10	0	0	10	0	3899	
284	Chorus Master	5	1	7	1	-1	0	284	1	0	20	0	0	2305843009213693952	
285	Chorus Slave	5	1	7	1	-1	0	285	1	0	20	0	0	4611686018427387904	
286	Celestial Chastisement	2	5	4	3	-1	0	286	1	100	20	0	84	1005	
287	Contact Huli Jing	0	6	6	2	-1	0	287	1	0	0	30	0	1908	
288	Thousand Year Ginseng	3	4	6	1	-1	0	288	1	0	0	4	0	-5	
289	Internal Alchemy	1	5	2	2	4	1	289	1	0	0	5	0	15	
290	Hannya Pact	0	0	5	1	-1	0	290	1	0	0	6	0	3070	
291	Greater Hannya Pact	0	0	5	2	-1	0	291	1	0	0	12	0	1432	
292	End of Culture	5	6	0	5	-1	0	292	1	0	0	60	0	106	
293	End of Weakness	1	6	3	2	-1	0	293	1	0	0	1	0	17179869184	
294	Teaching Sign	7	0	9	1	6	1	294	1	0	0	0	0	128	
295	Fear-not Sign	7	0	9	1	1	1	295	1	100	0	0	0	32776	
296	Welcome Sign	7	0	9	1	0	1	296	1	100	0	0	0	999	
297	Earth-touching Sign	7	0	9	1	3	1	297	1	100	0	0	0	999	
298	Meditation Sign	7	0	9	1	2	1	298	1	0	0	0	0	15	
299	Summon Okami	0	3	6	1	-1	0	299	1009	0	0	4	0	3264	
300	Contact Bakeneko	0	3	6	2	-1	0	300	1	0	0	8	0	3268	
301	Summon Shikome	0	4	5	2	-1	0	301	10	0	0	5	0	2100	
302	Contact Jigami	0	4	6	1	-1	0	302	1	0	0	10	0	2089	
303	Summon Omukade	0	4	3	2	5	1	303	1	0	0	5	0	3269	
304	Contact Mori-no-kami	0	5	6	3	-1	0	304	1	0	0	21	0	2093	
305	Summon Ujigami	0	5	3	1	4	1	305	1	0	0	8	0	2095	
306	Contact Kaijin	0	5	2	3	-1	0	306	1	0	0	25	0	2106	
307	Contact Mujina	0	5	6	2	-1	0	307	1	0	0	21	0	3273	
308	Contact Tanuki	0	5	6	2	-1	0	308	1	0	0	26	0	3266	
309	Contact Tatsu	0	6	3	3	-1	0	309	1	0	0	19	0	2099	
310	Summon Kenzoku	0	6	4	1	3	1	310	1	0	0	9	0	2096	
311	Summon Gozu Mezu	0	6	5	3	-1	0	311	1	0	0	6	92	2091	
312	Contact Jorogumo	0	6	6	2	5	1	312	1	0	0	32	0	3263	
313	Summon Araburu-kami	0	7	5	1	0	1	313	1	0	0	5	0	3270	
314	Contact Yama-no-kami	0	7	3	4	-1	0	314	1	0	0	28	0	2097	
315	Summon Abysian Ancestors	0	2	5	1	0	1	315	7	0	0	5	0	1971	
316	Reawaken Fossil	4	5	3	2	5	1	316	505	0	0	10	0	1977	
317	Summon Spectral Infantry	0	2	5	1	0	1	317	7	0	0	5	0	1656	
318	Contact Scorpion Man	0	8	3	1	0	1	318	1	0	0	12	0	1649	
319	Inner Furnace	4	5	0	3	-1	0	319	1	0	0	1	0	16384	
320	Infernal Breeding	6	3	8	2	-1	0	320	1014	0	0	25	0	1	
321	Summon Bears	0	3	6	1	9	1	321	15	0	0	8	0	3003	
322	Summon Simargl	0	2	1	1	-1	0	322	1	0	0	1	0	1947	
323	Summon Firebird	0	3	0	1	4	1	323	1	0	0	2	0	1946	
324	Send Lady Midday	0	5	1	3	5	1	324	1	0	0	5	0	1956	
325	Contact Sirin	0	3	4	2	-1	0	325	1	0	0	8	0	1945	
326	Send Vodyanoy	0	4	2	2	-1	0	326	1	0	0	20	0	1953	
327	Summon Rusalka	0	4	2	1	5	1	327	1	0	0	16	0	1954	
328	Summon Likho	0	4	5	1	-1	0	328	1	0	0	10	0	1952	
329	Contact Alkonost	0	4	4	2	-1	0	329	1	0	0	15	0	1943	
330	Summon Zmey	0	5	0	2	-1	0	330	1	0	0	5	0	1940	
331	Send Bukavac	0	5	2	4	-1	0	331	1	0	0	5	0	1948	
332	Contact Gamayun	0	5	4	3	-1	0	332	1	0	0	25	0	1944	
333	Contact Beregina	0	6	2	3	3	1	333	1	0	0	35	0	1955	
334	Contact Mountain Vila	0	7	6	4	-1	0	334	1	0	0	40	0	1942	
335	Contact Cloud Vila	0	7	1	4	-1	0	335	1	0	0	40	0	1941	
336	Contact Leshiy	0	8	6	6	-1	0	336	1	0	0	60	0	1949	
337	Grow Fortress	1	0	6	4	-1	0	337	1	0	0	35	0	10	
338	Fort of the Ancients	1	5	6	4	-1	0	338	1	0	0	35	0	10	
339	Sacred Crocodile	0	4	6	2	2	2	339	1	0	0	1	0	2186	
340	Herd of Elephants	0	3	6	2	-1	0	340	505	0	0	20	0	2398	
341	God Brood	0	4	6	2	5	1	341	6	0	0	12	0	888	
342	xxx	-1	4	7	2	5	1	342	10	0	0	12	0	3980	
343	Weavers of the Wood	4	5	6	4	-1	0	343	1	0	0	6	0	119	
344	Call Melqart	6	6	8	3	0	2	344	1	0	0	99	0	2267	
345	Strange Fire	2	4	4	2	0	1	345	1	1	20	0	0	1006	
346	Memories of Stone	4	5	5	2	3	1	346	505	0	0	10	0	1998	
347	Dirge for the Dead	0	6	5	3	9	1	347	1	0	0	25	0	2045	
348	Banquet for the Dead	0	8	5	4	9	1	348	1	0	0	55	90	2039	
349	Scapegoats	6	3	8	1	-1	0	349	2	0	0	8	0	2074	
350	Summon Se'irim	6	3	8	2	-1	0	350	5	0	0	23	0	2074	
351	Summon Shedim	6	4	8	3	1	1	351	3	0	0	28	0	2073	
352	Call Malakh	0	4	4	2	-1	0	352	1	0	0	9	0	2056	
353	Call Hashmal	0	6	4	3	0	1	353	1	0	0	21	0	2057	
354	Call Arel	0	7	4	4	6	1	354	1	0	0	39	0	2058	
355	Call Ophan	0	8	4	5	0	2	355	1	0	0	49	0	2051	
356	Call Merkavah	0	9	4	7	0	3	356	1	0	0	222	0	2052	
357	Release Lord of Civilization	6	9	8	8	-1	0	357	1	0	0	177	85	14	
358	Summon Mazzikim	0	3	6	1	-1	0	358	10	0	0	3	0	2072	
